Age,Survived,Ticket
22.0,0,A/5 21171
38.0,1,PC 17599
26.0,1,STON/O2. 3101282
35.0,1,113803
35.0,0,373450
,0,330877
54.0,0,17463
2.0,0,349909
27.0,1,347742
14.0,1,237736
4.0,1,PP 9549
58.0,1,113783
20.0,0,A/5. 2151
39.0,0,347082
14.0,0,350406
55.0,1,248706
2.0,0,382652
,1,244373
31.0,0,345763
,1,2649
35.0,0,239865
34.0,1,248698
15.0,1,330923
28.0,1,113788
8.0,0,349909
38.0,1,347077
,0,2631
19.0,0,19950
,1,330959
,0,349216
40.0,0,PC 17601
,1,PC 17569
,1,335677
66.0,0,C.A. 24579
28.0,0,PC 17604
42.0,0,113789
,1,2677
21.0,0,A./5. 2152
18.0,0,345764
14.0,1,2651
40.0,0,7546
27.0,0,11668
,0,349253
3.0,1,SC/Paris 2123
19.0,1,330958
,0,S.C./A.4. 23567
,0,370371
,1,14311
,0,2662
18.0,0,349237
7.0,0,3101295
21.0,0,A/4. 39886
49.0,1,PC 17572
29.0,1,2926
65.0,0,113509
,1,19947
21.0,1,C.A. 31026
28.5,0,2697
5.0,1,C.A. 34651
11.0,0,CA 2144
22.0,0,2669
38.0,1,113572
45.0,0,36973
4.0,0,347088
,0,PC 17605
,1,2661
29.0,1,C.A. 29395
19.0,0,S.P. 3464
17.0,1,3101281
26.0,0,315151
32.0,0,C.A. 33111
16.0,0,CA 2144
21.0,0,S.O.C. 14879
26.0,0,2680
32.0,1,1601
25.0,0,348123
,0,349208
,0,374746
0.83,1,248738
30.0,1,364516
22.0,0,345767
29.0,1,345779
,1,330932
28.0,0,113059
17.0,1,SO/C 14885
33.0,1,3101278
16.0,0,W./C. 6608
,0,SOTON/OQ 392086
23.0,1,19950
24.0,0,343275
29.0,0,343276
20.0,0,347466
46.0,0,W.E.P. 5734
26.0,0,C.A. 2315
59.0,0,364500
,0,374910
71.0,0,PC 17754
23.0,1,PC 17759
34.0,1,231919
34.0,0,244367
28.0,0,349245
,0,349215
21.0,0,35281
33.0,0,7540
37.0,0,3101276
28.0,0,349207
21.0,1,343120
,1,312991
38.0,0,349249
,1,371110
47.0,0,110465
14.5,0,2665
22.0,0,324669
20.0,0,4136
17.0,0,2627
21.0,0,STON/O 2. 3101294
70.5,0,370369
29.0,0,11668
24.0,0,PC 17558
2.0,0,347082
21.0,0,S.O.C. 14879
,0,A4. 54510
32.5,0,237736
32.5,1,27267
54.0,0,35281
12.0,1,2651
,0,370372
24.0,1,C 17369
,1,2668
45.0,0,347061
33.0,0,349241
20.0,0,SOTON/O.Q. 3101307
47.0,0,A/5. 3337
29.0,1,228414
25.0,0,C.A. 29178
